company_bucket,company_folder,file_path,rel_path,company_name,cik,accession_number,form_type,period_of_report,fiscal_year,A_Total_Assets,L_Total_Liabilities,E_Total_Equity,R_Total_Revenue,Pi_Net_Income,Operating_Income,Cash_CashEquiv,Marketable_Securities,H_HQLA_Proxy,BS_Check_LplusE,C_Derived_Cost,BS_Residual_A_minus_L_minus_E,Liquidity_Ratio_H_over_A,Capital_Ratio_E_over_A,Lambda_Assumed,Kappa_Assumed,Liquidity_Pass_H_ge_lambdaA,Capital_Pass_E_ge_kappaA,flags,period_dt,q_year,q_num,form_pri,completeness
failed,SunEdison,data/failed/SunEdison/0001193125-06-192488.txt,failed/SunEdison/0001193125-06-192488.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-06-192488,10-Q,20060331,2006,,,,,57038000.0,,,,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Pi_Net_Income;MissingH,2006-03-31,2006,1,0,1
failed,SunEdison,data/failed/SunEdison/0001193125-06-192491.txt,failed/SunEdison/0001193125-06-192491.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-06-192491,10-Q,20060630,2006,,,,,40477000.0,,,,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Pi_Net_Income;MissingH,2006-06-30,2006,2,0,1
failed,SunEdison,data/failed/SunEdison/0001193125-06-228505.txt,failed/SunEdison/0001193125-06-228505.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-06-228505,10-Q,20060930,2006,,,,,101625000.0,,,,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Pi_Net_Income;MissingH,2006-09-30,2006,3,0,1
failed,SunEdison,data/failed/SunEdison/0001193125-07-044395.txt,failed/SunEdison/0001193125-07-044395.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-07-044395,10-Q,20061231,2006,1148103000.0,392120000.0,755983000.0,,,,126494000.0,27117000.0,153611000.0,,,0.0,0.13379548699027874,0.6584626989041924,0.05,0.08,True,True,SGML_Primary_HTMLFallback;HTMLTables_Targeted;HTML:A_Total_Assets;HTML:L_Total_Liabilities;HTML:Cash_CashEquiv;HTML:Marketable_Securities;DerivedE_AminusL,2006-12-31,2006,4,0,4
failed,SunEdison,data/failed/SunEdison/0001193125-07-110236.txt,failed/SunEdison/0001193125-07-110236.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-07-110236,10-Q,20070331,2007,1765500000.0,,,,67300000.0,,527500000.0,58000000.0,585500000.0,,,,0.33163409798923815,,0.05,0.08,True,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:A_Total_Assets;HTML:Cash_CashEquiv;HTML:Marketable_Securities;HTML:Pi_Net_Income,2007-03-31,2007,1,0,3
failed,SunEdison,data/failed/SunEdison/0001193125-07-175543.txt,failed/SunEdison/0001193125-07-175543.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-07-175543,10-Q,20070630,2007,,,,,81900000.0,,,,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Pi_Net_Income;MissingH,2007-06-30,2007,2,0,1
failed,SunEdison,data/failed/SunEdison/0001193125-07-240296.txt,failed/SunEdison/0001193125-07-240296.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-07-240296,10-Q,20070930,2007,,,,,91100000.0,,,,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Pi_Net_Income;MissingH,2007-09-30,2007,3,0,1
failed,SunEdison,data/failed/SunEdison/0001193125-08-042222.txt,failed/SunEdison/0001193125-08-042222.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-08-042222,10-Q,20071231,2007,,,,,,1.0,331.8,12.0,343.8,,,,,,0.05,0.08,,,SGML_Primary_HTMLFallback;MissingH;LabelFallback_Tight,2007-12-31,2007,4,0,1
failed,SunEdison,data/failed/SunEdison/0001193125-08-107774.txt,failed/SunEdison/0001193125-08-107774.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-08-107774,10-Q,20080331,2008,2887200000.0,816400000.0,2070800000.0,,134700000.0,,859300000.0,457100000.0,1316400000.0,,,0.0,0.45594347464671653,0.7172346910501524,0.05,0.08,True,True,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:A_Total_Assets;HTML:L_Total_Liabilities;HTML:Cash_CashEquiv;HTML:Marketable_Securities;HTML:Pi_Net_Income;DerivedE_AminusL,2008-03-31,2008,1,0,5
failed,SunEdison,data/failed/SunEdison/0001193125-08-170295.txt,failed/SunEdison/0001193125-08-170295.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-08-170295,10-Q,20080630,2008,,,,,163600000.0,,,457100000.0,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Marketable_Securities;HTML:Pi_Net_Income;MissingH,2008-06-30,2008,2,0,1
