issuer,ticker,fiscal_year,report_date,market_equity,equity_volatility,short_term_debt,long_term_debt,default_point,asset_value_A,asset_vol_sigmaA,DD,PD,classification
Cisco,CSCO,1996.0,1996-07-28,307395166208.0,0.23735435576293445,,1400806.0,1815116.0,307396892799.7481,0.25317655821874946,47.625643244893254,0.0,healthy
Cisco,CSCO,1997.0,1997-07-26,307395166208.0,0.23735435576293445,13.01,,,,,,,unknown
Cisco,CSCO,1998.0,1998-07-25,307395166208.0,0.23735435576293445,,,,,,,,unknown
Cisco,CSCO,1999.0,1999-10-30,307395166208.0,0.23735435576293445,438.0,685.0,780.5,307395166950.4346,0.2531779797309102,78.2430434193708,0.0,healthy
Cisco,CSCO,2000.0,2000-07-29,307395166208.0,0.23735435576293445,,,,,,,,unknown
Cisco,CSCO,2001.0,2001-07-28,307395166208.0,0.23735435576293445,,,,,,,,unknown
Cisco,CSCO,2002.0,2002-07-27,307395166208.0,0.23735435576293445,,,,,,,,unknown
Cisco,CSCO,2003.0,2003-07-26,307395166208.0,0.23735435576293445,0.0,,,,,,,unknown
Cisco,CSCO,2004.0,2004-07-31,307395166208.0,0.23735435576293445,0.0,,,,,,,unknown
Cisco,CSCO,2005.0,2005-07-30,307395166208.0,0.23735435576293445,0.0,,,,,,,unknown
Cisco,CSCO,2006.0,2006-07-29,307395166208.0,0.23735435576293445,0.0,,,,,,,unknown
Cisco,CSCO,2007.0,2007-07-28,307395166208.0,0.23735435576293445,6.0,,,,,,,unknown
Cisco,CSCO,2008.0,2008-07-26,307395166208.0,0.23735435576293445,6.0,,,,,,,unknown
Cisco,CSCO,2009.0,2009-07-25,307395166208.0,0.23735435576293445,6.0,,,,,,,unknown
Cisco,CSCO,2010.0,2010-07-31,307395166208.0,0.23735435576293445,6.0,,,,,,,unknown
Cisco,CSCO,2011.0,2011-07-30,307395166208.0,0.23735435576293445,12.0,1.0,12.5,307395166219.8904,0.3164724754451591,75.60086813674258,0.0,healthy
Cisco,CSCO,2012.0,2012-07-28,307395166208.0,0.23735435576293445,6.0,1.0,6.5,307395166214.183,0.3164724754530941,77.66716621163668,0.0,healthy
Cisco,CSCO,2013.0,2013-07-27,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
Cisco,CSCO,2014.0,2014-07-26,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
Cisco,CSCO,2015.0,2015-07-25,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
Cisco,CSCO,2016.0,2016-07-30,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
Cisco,CSCO,2017.0,2017-07-29,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
Cisco,CSCO,2018.0,2018-07-28,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
